ID Проведения,ID Курса,Тип,Название курса,Описание,Преподаватель,Часы/ЗЕ,Дата и время,Цена курса,Цена модуля,Месяц
С001,К001,Обычный,Эхокардиография. Продвинутый уровень. Клапаны под контролем,"Разберем сложное просто. 
Понимание гемодинамики - ключ к точной диагностике и к правельному клинечискому решению
3 дня вебинаров","Халикназарова Дилафруз Муратжановна
 Врач кардиолог высшей категории. Врач ультразвуковой диагностики. Основатель клиники «Medical doctor Di», главный внештатный кардиолог Сайрамского района Туркестанской области 2014-2024",10 часов / 5 ЗЕ,"5.08.2026 - 19:00
7.08.2026 - 19:00
 8.08.2026 - 11:00",45 000KZT,,
С002,К002,Модульный,"Модульный курс по ""Холтер и СМАД""
 Как читать холтер и СМАД что бы не ошибаться?",,,,,45 000KZT,15 000KZT,Агуст
С003,К002,Модуль,Модуль HM ECG. Холтеровское мониторирование. Базис,"Как правильно назначить Холтер. Программное и аппаратное обеспечение при проведении ХМЭКГ. Методика проведения. Подготовка пациента. Технические аспекты, которые влияют на результат (электроды, артефакты, дневник пациента). Ошибки установки (электроды, программирование). Роль дневника пациента. Этапы анализа и формирования заключения. Оценка артефактов. Частые ошибки при интерпретации данных мониторирования. 
 Когда Холтер действительно нужен, а когда он бесполезен
 Нормы и «псевдопатология»: что не требует лечения
 Оценка ЧСС, циркадного индекса, вариабельности сердечного ритма. 
 Анализ и интерпретация нарушений ритма
 • Клинически значимые находки:
 o экстрасистолия
 o паузы
 o ишемические изменения
 Частые ошибки интерпретации и гипердиагностика","Азим Саида Юсуфовна,
 Хахазова Карлыгаш Болатовна",,12.08.2026,,,
С004,К002,Модуль,Модуль HM ECG PRO. Холтеровское мониторирование: продвинутый уровень интерпретации,"Нарушения сердечного ритма: синусовая аритмия, синусовая брадикардия, миграция водителя ритма. Фибрилляция и трепетание предсердий
 Оценка суправентрикулярных аритмий: экстрасистолия, эктопические ритмы
 Оценка желудочковых аритмий: экстрасистолия, эктопические ритмы
 Оценка нарушений проводимости: синоатриальная блокада, атриовентрикулярная блокада, блокады ножек пучка Гиса
 ХМЭКГ в диагностике ишемии миокарда. Роль метода в диагностике безболевой ишемии, вариантной стенокардии
 ХМЭКГ при некоторых заболеваниях: синдром слабости синусового узла, ВПВ","Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,14.08.2026,,,
С005,К002,Модуль,Модуль ABPM. (СМАД) Базис,"Как правильно назначить СМАД. 
 Подготовка пациента: (режим дня, ведение дневника, ограничения)
 Технические моменты: выбор манжеты, частота измерений, типичные артефакты
 Показания к СМАД по современным рекомендациям
 «Эффект белого халата» и маскированная гипертензия
 Что измеряет СМАД
 • Среднесуточное АД
 • Дневное и ночное АД
 • Вариабельность
 • Индекс времени (нагрузка давлением)
 Алгоритм интерпретации СМАД 
 Проверка качества записи
 • достаточное количество измерений
 • наличие ночных данных
 
 Средние значения
 сутки / день / ночь
 Суточный профиль АД: dipper, non-dipper, night-peaker
 Значение ночного давления, вариабельности и утреннего подъёма
 Типичные ошибки отчётов
 Что писать в заключении, чтобы оно помогало врачу","Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,17.08.2026,,,
С006,К002,Модуль,Модуль ABPM PRO. (СМАД) продвинутый уровень интерпретации,"• Non-dipper, over-dipper, night-peaker — клиническое значение
 • Ночная гипертензия как независимый фактор риска
 • Связь с:
 • инсультом
 • гипертрофией ЛЖ
 • ХБП
 Ортостатическая гипотензия при артериальной гипертонии. Особенности по смад)
 Особые клинические группыы:
 пожилые (жёсткие сосуды, вариабельность)
 • пациенты с ожирением
 • беременные
 • пациенты с ХБП
 • пациенты с аритмиями (ограничения метода)
 Где СМАД может «ошибаться»","Азим Саида Юсуфовна,
 
 
 Хахазова Карлыгаш Болатовна",,19.08.2026,,,
С007,К002,Модуль,Модуль MIX PRO. Разбор реальных кейсов по ХМЭКГ и СМАДу,,"Азим Саида Юсуфовна,
 Хахазова Карлыгаш Болатовна",,21.08.2026,,,
С008,К003,Обычный,Авторская методика обучения ЭКГ на казахском языке,"Полный курс электрокардиографии на казахском/русском языках
 Темы вебинаров:
 Норма ЭКГ
 Понятие ЭОС
 Аритмии и блокады:
 Экстрасистолы
 Эктопические ритмы
 Блокады: СА блокада, АВ блокада, Блокада ножек пучка Гисса
 Фибрилляция и трепетание предсердий, желудочков
 Гипертрофия
 Ишемия","Темирбаев Алмаз Темирбаевич
 практикующий кардиолог",20 часов / 10 ЗЕ,"24.08.2026 - 19:30 
26.08.2026 - 19:30
28.08.2026 - 19:30
31.08.2026 - 19:30",80 000KZT,,
С009,К004,Обычный,Интервал QT и лекарственные препараты. Знания на каждый день,"Каждый день мы назначаем антибиотики, антидепрессанты, противорвотные препараты, антиаритмики, противогрибковые средства и десятки других лекарств. 

Но всегда ли мы задумываемся, какие из них способны удлинять интервал QT и повышать риск опасных желудочковых аритмий?

На вебинаре мы подробно разберем:
 • какие препараты действительно опасны, а какие — нет; 
* как правильно оценивать QT и QTc;
 • какие сочетания лекарств наиболее рискованны;
 • какие инструменты использовать в ежедневной практике для оценки безопасности препаратов в плане возможного удлинения QT ;
 • когда необходимо выполнять ЭКГ и контролировать электролиты;
 • что делать, если QT уже удлинен; 
* современные рекомендации ESC, AHA/ACC/HRS и FDA; 
* реальные клинические случаи и типичные ошибки врачей.

Этот вебинар будет полезен кардиологам, терапевтам, врачам общей практики,  клиническим фармакологам, неврологам, психиатрам, онкологам, фтизиатрам и всем врачам, которые ежедневно назначают лекарственную терапию.",Лещинская-Попова Инна Евгеньевна ,"3 часа/ 1,5 ЗЕ",29.08.2026- в 11:00,15 000KZT,,
С010,К003,Обычный,Авторская методика обучения ЭКГ на казахском языке,"Полный курс электрокардиографии на казахском/русском языках
 Темы вебинаров:
 Норма ЭКГ
 Понятие ЭОС
 Аритмии и блокады:
 Экстрасистолы
 Эктопические ритмы
 Блокады: СА блокада, АВ блокада, Блокада ножек пучка Гисса
 Фибрилляция и трепетание предсердий, желудочков
 Гипертрофия
 Ишемия","Темирбаев Алмаз Темирбаевич
 практикующий кардиолог",20 часов / 10 ЗЕ,"2.09.2026 - 19:30
4.09.2026 - 19:30
7.09.2026 - 19:30
9.09.2026 - 19:30
11.09.2026 - 19:30
14.09.2026 - 19:30",,,
