id,name,photo,spec,work,exp,rating,about
5,Азим Саида Юсуфовна,img/Азим Саида Юсуфовна.jpeg,"Врач кардиолог, врач функциональной диагностики. ",,,,"1. Кто я в профессии

Я клиницист, который умеет объяснять.
Не просто ставлю диагнозы — я делаю так, чтобы пациент и врач понимали, что происходит и зачем мы это лечим.
На приёме часто не укладываюсь во время — потому что мне важно, чтобы человек вышел не с бумажкой, а с пониманием.
В обучении — так же: не «посмотрели и забыли», а разобрались и начали видеть.
2. Почему я этим занимаюсь

Меня всегда цепляло, что врачи часто работают «по шаблону» — особенно в СМАД, Холтере и ЭКГ.
Заключение есть — понимания нет.
Когда я проходила переподготовку по функциональной диагностике, обучение было формальным.
Без опыта, сразу придя в отделение ФД, было тяжело: за некоторыми сложными Холтерами я сидела по 5 часов, училась сама и проходила через это лично.
Именно этот опыт научил меня:
новичку нужно объяснить «что» и «как» шаг за шагом — и я знаю, как это сделать.
После переподготовки полностью ушла в функциональную диагностику и осталась там на 5 лет. 
СМАД, Холтер, тредмил-тесты, ЭКГ.
Это было глубокое погружение, где количество перешло в клиническое мышление.

3. Чему я реально учу

Я учу:
        •        видеть артефакты и не ставить ложные диагнозы
        •        быстро отличать норму от патологии
        •        понимать, где действительно нужна терапия, а где нет. 
Главное — я стараюсь научить думать. 

4. Мой подход
        •        через реальные клинические случаи
        •        через логику и алгоритмы
        •        с разбором ошибок

Я требовательная.
Но если врач действительно хочет научиться — я даю максимум и не жалею ни времени, ни знаний.
Я не отпускаю, пока не станет понятно.

5. Результаты учеников
После обучения:
        •        начинают самостоятельно расшифровывать СМАД и Холтер
        •        перестают бояться 
        •        начинают видеть клиническую картину, а не просто цифры

Очень люблю момент «до/после»:
когда в начале врач теряется — а потом щёлкает.

6. Кому я подхожу, а кому — нет
 Подойдёт:
— врачам, которые хотят реально разобраться
— тем, кто готов думать и работать
— тем, кто устал от шаблонов

Не подойдёт:
— тем, кто не готов прикладывать усилия

7. Факты

— 15 лет в преподавании
— кардиолог с опытом работы в отделении функциональной диагностики, что позволило глубже понимать инструментальные методы и клиническую интерпретацию данных.
— училась сама,поэтому понимаю новичков
— обучала врачей в разных городах Казахстана (ЭКГ)
— работаю в клиниках Orhun Medical и Yesmed
— своих пациентов обследую сама, вижу полный цикл: от диагностики до лечения

8. факты обо мне, которых нет в дипломе

— не терплю формального подхода в диагностике
— люблю, когда у врача «включается мышление», а не просто заполняется протокол

9. За что меня ценят ученики

— за структуру
— за ясность
— за требовательность с поддержкой
— за то, что после занятий реально начинают понимать

10. Какая я в работе

На занятиях я:
— требовательная, но поддерживающая
— объясняю до результата
— не отпускаю с «примерно понятно»"
1,Зурдунова Индира Курванжановна,img/Зурдунова.jpeg,Врач аллерголог пульмонолог  иммунолог. ,,,,"«Спирография в клинической практике: интерпретация без ошибок». 
Член EAACI, ERS, РААКИ, ассоциации пульмонологов Казахстана."
2,Лещинская-Попова Инна Евгеньевна ,img/Лещинская-Попова.jpeg,Врач- кардиолог,Не указано,Не указано,,"Врач- кардиолог, магистр медицинских наук, основатель Doctrine, обладатель Курмет Грамотасы МЗРК (2016 г), врач- блогер

Уже порядка 20 лет я в кардиологии и столько же я преподаю врачам и будущим врачам. Я люблю свою профессию, люблю изучать Медицину и делиться знаниями с другими.
Когда мне задают вопрос ""почему я этим занимаюсь?"", я отвечаю так: это моя мечта с детства (стать врачом), мечта будучи взрослой- передавать знания другим в своём центре и делать это с каждым разом всё лучше и лучше
С 2008 года я обучаю кардиологии, функциональной диагностике. Я помогаю докторам понять с азов работу с Холтером и СМАДом, рассказываю о не тривиальной кардиологии и всё это начиная с интересных фактов, исторических моментов, открытий, продолжаю статистикой, объясняю саму суть вопроса и завершаю реальными клиническими случаями. Это мой подход. Плюс обязательно обратная связь с обучающимися

После моих курсов доктора даже во сне видят заключения по Холтеру ))) А если серьёзно, то знания, которые я даю со своими коллегами помогают докторам более грамотно, более вдумчиво подходить в вопросам ведения кардиопациентов и проводить диагностику
Наши курсы для тех, кто хочет углубить и расширить свои прикладные знания во благо пациентов.
Но если обучение нужно ""для галочки"", то нам с вами не по пути


Факты
— 18 лет в практике
— обучила многих врачей 
— дипломы ""с отличием"" в медуниверситете, магистратуре, колледже
-курсы повышения квалификации в Казахстан (Алматы, Астана, Караганда), Россия, Литва, Чехия, Украина 

3 факта обо мне, которые не написаны в дипломе
— объясняю сложное простым языком
— люблю свою кардиологию и Медицину
— уважаю коллег и не ставлю ""двойки""

За что меня ценят ученики? За открытость в передаче знаний, за опыт, за хорошую дикцию и генерацию идей и их воплощение

Какая я в работе. Во время обучения я открытая, стараюсь донести информацию до каждого, веду диалоги с обучающимися"
3,Халикназарова Дилафруз Муратжановна,img/Халикназарова Дилафруз Муратжановна.jpeg,"Врач кардиолог высшей категории.

Врач ультразвуковой диагностики",Не указано,Не указано,,"Врач кардиолог высшей категории.  
Врач ультразвуковой диагностики. Основатель клиники «Medical doctor Di»
Главный внештатный кардиолог Сайрамского района Туркестанской области 2014-2024

Я врач, который не скупится и делится знаниями, объясняя сложное поэтапно, глубоко и простым языком. 

Я чувствую потребность в том, чтобы делиться знаниями и когда вижу как загораются глаза учеников чувствую подъем энергии и вдохновение, кроме того, каждый раз готовясь к лекциям понимаю, что расту вместе со слушателями. 

Чему я реально обучаю?
— учу не боятся слова ""узи""
—учу не боятся узи аппарата
— показываю, как отличить норму от патологии 

Мой подход. Это формат:
— без воды, на простых примерах, с юмором,  через клинические случаи. 

В зависимости от запроса акцентирую внимание на боли аудитории, какие моменты более непонятны, то и разбираем глубже. 

Я адаптирую обучение к запросу слушателя, с каждым новым семинаром адаптирую лекции к больше волнующим вопросам, держу обратную связь 

После курсов появится желание самостоятельно проводить ЭХОКГ, без страха
Доктора перестают бояться заключений,
— повышают доход,  уверенность
—уходят от найма и развивают личный бренд. 


Курсы, которые я провожу, подойдут врачам, которые хотят систематизировать знания
Не подойдёт: тем, кто ждёт «волшебную таблетку» без практики

Факты обо мне
— 8+ лет в практике по УЗИ
—12 лет в любимой кардиологии 
— мои курсанты уже успешно практикуют эхокг 
— стажировки: ФГБУ им академика Мешалкина города Новосибирск РФ, UMS ННКЦ города Астана. 

3 факта обо мне, которые не написаны в дипломе
— обожаю сложные клинические случаи
— объясняю на пальцах и рисунках
— практикую только доказательную медицину

Мои ученики ценят меня 
«за спокойствие», «за структуру», «за честность»

Какая я в работе?
На занятиях я сконцентрирована на результат, держу обратную связь. 
—  поддерживающая
— объясняю до победного"
4,Хахазова Карлыгаш Болатовна ,img/Хахазова Карлыгаш Болатовна.jpeg,Врач- кардиолог,Не указано,Не указано,,"Я врач, который упрощает сложную диагностику, без потери клинической значимости.

С первых курсов мне легко удавалось разбирать сложные темы, выстраивая причинно-следственные связи и чёткую логику. Поэтому ко мне часто обращались с просьбой объяснить материал.  Поворотный момент наступил уже в начале работы кардиологом. Сокурсник, который работал за рубежом, попросил помочь ему подготовиться к экзамену по ЭКГ для допуска к работе в приёмном покое. Чтобы усилить мотивацию, он собрал группу заинтересованных студентов — так и началась моя преподавательская практика.

Особенно ценными для меня стали первые отзывы и последовавшие за этим запросы на обучение. 

На обучении я учу:
        1. Видеть клинический смысл за данными холтера и СМАД.
        2. Работать по чёткому алгоритму, а не «листать запись».
        3. Отличать норму от патологии без гипердиагностики.
        4. Интерпретировать находки в контексте пациента, а не изолированно. 
        5. Принимать обоснованные решения: что требует действий, а что — нет. 

Моя фишка:
        1. В простых и понятных для каждого объяснениях. 
        2. Разборах реальных клинических кейсов моих пациентов. 


После обучения мои студенты :
        • не теряются в записи
        • не путают норму и патологию
        • не занимаются гипердиагностикой
        • понимают, что делать с каждой находкой. 

Кому я подхожу? 
Мое обучение подойдет для врачей которые работают с пациентами и им важно принимать обоснованные клинические решения, а не слепо доверять чужим заключениям, которые не вписываются в клинику. 

Не подойдет обучение, если вы ищете быстрое и поверхностное обучение с готовыми шаблонами и сухими цифрами. 

Факты: 
        ⁃ С 2021г занимаюсь обучением ЭКГ и Холтер-Смад. 
        ⁃ Обучила более 200 студентов и врачей 
        ⁃ Большой клинический опыт расшифровки Холтер и смад. Более 25 расшифровок ежедневно в течении  5 лет.
        ⁃ Занимаюсь популяризацией доказательной медицины в соц.сетях. 

Факты обо мне, которые не написаны в дипломе: 
        1. Нравится разбираться со сложными, коморбидными случаями
        2. Верю больше клинике и жалобам пациентов, чем чужим диагностическим исследованиям. 
        3. Не люблю все усложнять, если можно проще. 

За что ценят? 
        ⁃ за практические знания 
        ⁃ акцент на клиническом смысле, а не на формальных находках
        ⁃ разбор реальных ситуаций, а не «идеальных кейсов»
        ⁃ доверительную и спокойную атмосферу на обучении. 

Какая я в работе? 
        ⁃ требовательная к логике, что поможет понять, а не запомнить
        ⁃ Практичная, разбираем то что важно для лечащего врача и пациента. 


Кто я? 

Я кардиолог-аритмолог, провожу  функциональные и визуальные методы обследования своим пациентам. 
Обучаю Холтер-Смад с нуля. 

Помогаю врачам правильно интерпретировать и самостоятельно проводить расшифровки Холтер-Смад с нуля. 

Если вы лечащий врач, этот навык помогает быстрее разбираться в диагнозе и принимать обоснованные решения по лечению.

Навык интерпретации Холтера и СМАД снижает нагрузку от приёма без потери дохода.

Функциональные методы — Холтер и СМАД — востребованы и достойно оплачиваются даже в государственных учреждениях, напрямую влияя на уровень заработка.

Расшифровку можно выполнять дистанционно — без привязки к месту и с гибким форматом работы."
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
